,,,,,,,Playing Time,,,,Performance,,,,,,,Per 90 Minutes,,,,,Expected,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Sabit Abdulai,gh GHA,MF,Getafe,21,1999,3,0,60,0.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2,Marcos Acuña,ar ARG,DF,Sevilla,28,1991,30,26,"2,330",25.9,1,2,1,0,0,5,0,0.04,0.08,0.12,0.04,0.12,1.1,1.1,2.8,4,0.04,0.11,0.15,0.04,0.15,Matches
3,Bobby Adekanye,nl NED,"FW,MF",Cádiz,21,1999,3,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.43,0,0.43,0.43,0.43,Matches
4,Martin Agirregabiria,es ESP,"DF,MF",Alavés,24,1996,26,16,"1,558",17.3,0,1,0,0,0,1,0,0,0.06,0.06,0,0.06,0.2,0.2,0.9,1.1,0.01,0.05,0.06,0.01,0.06,Matches
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,24,1995,25,14,"1,289",14.3,0,0,0,0,0,3,0,0,0,0,0,0,0.8,0.8,0.6,1.4,0.06,0.04,0.1,0.06,0.1,Matches
6,Carlos Akapo,gq EQG,DF,Cádiz,27,1993,13,10,865,9.6,1,0,1,0,0,3,1,0.1,0,0.1,0.1,0.1,0.4,0.4,0.3,0.6,0.04,0.03,0.07,0.04,0.07,Matches
7,Paul Akouokou,ci CIV,MF,Betis,22,1997,10,4,378,4.2,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0.4,0.4,0,0.08,0.08,0,0.08,Matches
8,Jony Álamo,es ESP,MF,Elche,18,2001,1,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
9,Jordi Alba,es ESP,DF,Barcelona,31,1989,35,34,"3,025",33.6,3,5,3,0,0,9,0,0.09,0.15,0.24,0.09,0.24,2.4,2.4,7.4,9.8,0.07,0.22,0.29,0.07,0.29,Matches
10,Raúl Albiol,es ESP,DF,Villarreal,34,1985,35,35,"3,115",34.6,0,0,0,0,0,7,0,0,0,0,0,0,0.6,0.6,1,1.6,0.02,0.03,0.05,0.02,0.05,Matches
11,Paco Alcácer,es ESP,FW,Villarreal,26,1993,27,19,"1,544",17.2,6,4,5,1,2,0,0,0.35,0.23,0.58,0.29,0.52,8.3,6.7,3.2,9.9,0.48,0.19,0.67,0.39,0.58,Matches
12,Pedro Alcalá,es ESP,DF,Cádiz,31,1989,13,8,909,10.1,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01,Matches
13,Rubén Alcaraz,es ESP,MF,Valladolid,29,1991,30,25,"2,165",24.1,1,0,1,0,0,10,0,0.04,0,0.04,0.04,0.04,1.7,1.7,0.6,2.3,0.07,0.03,0.09,0.07,0.09,Matches
14,Iván Alejo,es ESP,"MF,FW",Cádiz,25,1995,22,6,827,9.2,1,1,1,0,0,5,0,0.11,0.11,0.22,0.11,0.22,1,1,0.8,1.7,0.11,0.08,0.19,0.11,0.19,Matches
15,Carles Aleñá,es ESP,"MF,FW",Getafe,22,1998,22,15,"1,366",15.2,2,2,2,0,0,1,0,0.13,0.13,0.26,0.13,0.26,1.9,1.9,2,3.9,0.12,0.13,0.26,0.12,0.26,Matches
16,Carles Aleñá,es ESP,MF,Barcelona,22,1998,2,0,48,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
17,Alfon,es ESP,MF,Celta Vigo,21,1999,2,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.13,0.22,0.35,0.13,0.35,Matches
18,Sergio Álvarez,es ESP,"MF,DF",Eibar,28,1992,27,17,"1,568",17.4,0,0,0,0,0,3,0,0,0,0,0,0,0.3,0.3,0.9,1.2,0.02,0.05,0.07,0.02,0.07,Matches
19,Yeray Álvarez,es ESP,DF,Athletic Club,25,1995,23,22,"1,948",21.6,1,0,1,0,0,6,0,0.05,0,0.05,0.05,0.05,0.5,0.5,0.4,0.9,0.02,0.02,0.04,0.02,0.04,Matches
20,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,18,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
21,Jon Ander Garrido,es ESP,MF,Cádiz,30,1989,23,7,800,8.9,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.1,0.4,0.04,0.01,0.05,0.04,0.05,Matches
22,Ángel,es ESP,GK,Granada,18,2002,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
23,Miguel Ángel Rubio,es ESP,DF,Valladolid,22,1998,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
24,José Ángel,es ESP,DF,Eibar,30,1989,14,11,901,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.8,0.8,0,0.08,0.08,0,0.08,Matches
25,José Antonio Miranda,gq EQG,"MF,DF",Getafe,22,1998,4,0,26,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.69,0,0.69,0.69,0.69,Matches
26,Aritz Arambarri,es ESP,DF,Real Sociedad,22,1998,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.5,0,0.5,0.5,0.5,Matches
27,Mauro Arambarri,uy URU,MF,Getafe,24,1995,34,33,"2,983",33.1,3,0,3,0,0,11,0,0.09,0,0.09,0.09,0.09,2.2,2.2,2.1,4.3,0.07,0.06,0.13,0.07,0.13,Matches
28,Néstor Araujo,mx MEX,DF,Celta Vigo,28,1991,33,26,"2,426",27,0,0,0,0,0,5,0,0,0,0,0,0,0.3,0.3,0.7,1,0.01,0.02,0.04,0.01,0.04,Matches
29,Ronald Araújo,uy URU,DF,Barcelona,21,1999,24,16,"1,510",16.8,2,1,2,0,0,3,0,0.12,0.06,0.18,0.12,0.18,1.6,1.6,0.1,1.7,0.09,0.01,0.1,0.09,0.1,Matches
30,Anaitz Arbilla,es ESP,DF,Eibar,33,1987,34,30,"2,807",31.2,0,1,0,0,0,8,0,0,0.03,0.03,0,0.03,1.2,1.2,0.9,2.1,0.04,0.03,0.07,0.04,0.07,Matches
31,Unai Arietaleanizbeaskoa,es ESP,"FW,MF",Eibar,21,1999,4,0,47,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
32,Sergio Arribas,es ESP,"FW,DF",Real Madrid,18,2001,8,0,135,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.02,0.03,0.05,0.02,0.05,Matches
33,Sergio Asenjo,es ESP,GK,Villarreal,31,1989,36,36,"3,240",36,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
34,Marco Asensio,es ESP,"FW,MF",Real Madrid,24,1996,35,21,"1,869",20.8,5,2,5,0,0,1,0,0.24,0.1,0.34,0.24,0.34,4.9,4.9,3,7.9,0.23,0.15,0.38,0.23,0.38,Matches
35,Iago Aspas,es ESP,FW,Celta Vigo,32,1987,33,33,"2,864",31.8,14,13,9,5,5,9,0,0.44,0.41,0.85,0.28,0.69,12.5,8.7,8.3,17,0.39,0.26,0.65,0.27,0.54,Matches
36,Miguel Atienza,es ESP,MF,Eibar,21,1999,12,9,838,9.3,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.1,0.4,0.02,0.02,0.04,0.02,0.04,Matches
